package_name,lcom_slope,lcom_intercept,tcc_slope,tcc_intercept,lcc_slope,lcc_intercept
org_hibernate,-1.613230203535921,156.22293587242115,-0.0013126572448425718,0.1787030911303029,-0.0011730087199341465,0.24202846981394996
org_hibernate_action_internal,0.05595238095238093,14.852777777777774,-0.0008971088234127003,0.3318632370601853,-0.0004341458789682533,0.40316177130092584
org_hibernate_annotations,0.0,0.0,0.0016220237723214256,-0.7357192454935513,0.0012499999999999974,-0.7303373015873016
org_hibernate_boot_jaxb_hbm_internal,0.0,0.8,0.0,0.14285715,0.0,0.2
org_hibernate_boot_jaxb_hbm_spi,0.0,55.18181818181817,0.0,-0.09090909090909093,0.0,-0.09090909090909093
org_hibernate_bytecode_buildtime_spi,0.0,6.75,0.0,0.31944444500000013,0.0,0.31944444500000013
org_hibernate_engine_config,-0.09890109890109895,5.43956043956044,-0.018315018351648348,0.0073260093406593285,-0.018315018351648348,0.0073260093406593285
org_hibernate_engine_config_internal,0.0,4.0,0.0,0.16666667,0.0,0.16666667
org_hibernate_engine_config_spi,0.0,5.0,0.0,-0.5,0.0,-0.5
org_hibernate_engine_jdbc_connections_internal,0.22582417582417597,10.914285714285715,0.002131083186813186,0.22598639595604395,0.003098290653846154,0.3316239338461538
org_hibernate_engine_transaction_internal,-2.15989010989011,47.601282051282055,0.009803232315934062,0.23566051458333337,0.013827762153846155,0.29301496900000007
org_hibernate_engine_transaction_spi,-5.036071428571428,60.299166666666665,-0.010071806488095237,-0.21582892430555556,-0.010185185166666662,-0.2145061730555556
org_hibernate_hql_internal_ast_tree,-0.08117168768203306,77.20952773307776,-0.0010555475566076907,0.13589680735173001,-0.0011356610218641466,0.18294198204457676
org_hibernate_internal_util_type,0.020329670329670334,3.2934065934065933,0.0,0.0,0.0,0.0
org_hibernate_jmx_internal,0.0,1.0,0.0,0.11111111333333333,0.0,0.11111111333333333
org_hibernate_loader_plan_spi,-0.9285799307075905,14.015342104703807,-0.024419119032099108,-0.16443724770811458,-0.026575594086966227,-0.14287920093483114
org_hibernate_mapping,0.1273270352875743,470.29594530226655,-0.0001981598994710882,0.16950142835706844,-0.0004225306646240932,0.24311938029627767
org_hibernate_osgitest,0.0,0.8333333333333333,0.0,0.7222222233333334,0.0,0.7222222233333334
org_hibernate_osgitest_command,0.0,0.0,0.0,1.0,0.0,1.0
org_hibernate_persister_walking_internal,0.0922291993720565,10.323914181057035,0.0003055617770800633,0.09861142552066983,0.0008550122951334378,0.1260839514233385
org_hibernate_persister_walking_spi,0.06410256410256406,18.856410256410253,0.0005917159763313612,0.060355029585798824,0.0005917159763313612,0.060355029585798824
org_hibernate_procedure_internal,-0.007211538461538462,26.451923076923077,0.0010302197802197811,0.19392900088598908,0.0010302197802197802,0.314953449010989
org_hibernate_resource_transaction_backend_jdbc,0.043636363636363674,13.803636363636363,0.0,0.2546886532,0.0008391608727272737,0.3761871516727273
org_hibernate_result,0.0,5.6,0.0,0.20777777900000002,0.0,0.2547619079999999
org_hibernate_result_internal,0.0,6.83333333333333,0.0,0.34629629833333336,0.0,0.42460317999999997
org_hibernate_secure,0.0,2.375,-0.0020604395604395605,0.07165750957417581,-0.00206043956043956,0.10290750957417581
org_hibernate_secure_spi,-0.008241758241758242,2.078296703296703,0.0005494504945054944,0.10728022030219782,0.0005494504945054936,0.16978022030219778
org_hibernate_type_descriptor_converter,0.07600732600732603,2.9542124542124535,-0.004325832948717945,0.5214372961538463,-0.0009157509157509162,0.6978021978021978
org_hibernate_internal,23.286302629159763,706.5559569773857,0.007038512795283883,0.21316014999694505,0.008025104519826532,0.29689120129662794
org_hibernate_metamodel_source_annotations_xml_filter,0.0,2.333333333333333,0.0,0.0,0.0,0.0
org_hibernate_bytecode_buildtime_internal,0.0,1.5,0.0,0.33333335,0.0,0.5
org_hibernate_engine_jdbc_batch_spi,0.0,5.666666666666668,0.0,0.0,0.0,0.0
org_hibernate_engine_query_spi,-0.11798418972332057,7.245849802371542,-0.02930788965948617,0.46991333450750983,-0.02119527424051384,0.7050019391794465
org_hibernate_engine_query_spi_sql,0.0,0.0,-0.07489795885714287,0.5820408235000001,-0.07346938842857144,0.910612247142857
org_hibernate_engine_transaction_internal_jta,-0.4,60.866666666666646,0.0,0.15223025216666666,0.0,0.1696594438333333
org_hibernate_envers_event_spi,0.0,4.5,0.0,0.08333333400000002,0.0,0.08333333400000002
org_hibernate_envers_internal_entities_mapper_relation_lazy,-0.10000000000000052,6.966666666666668,0.031092927999999964,0.4937960926666666,0.031092927999999964,0.544478346
org_hibernate_metamodel_source_annotations_xml_mocker,0.0,48.93617021276596,0.0,0.5637771736659575,0.0,0.5975316462191489
org_hibernate_metamodel_source_binder,0.0,47.457142857142856,0.0,-0.14285714285714285,0.0,-0.14285714285714285
org_hibernate_metamodel_source_hbm,0.0,25.254901960784316,0.0,0.1427380374901961,0.0,0.20178692323529407
org_hibernate_metamodel_source_internal,-0.23076923076922784,120.69230769230766,0.00042338806153847665,0.5115133954461538,-0.0049795420384615265,0.5950000008461539
org_hibernate_metamodel,-0.0794701986754923,57.96026490066223,-1.596235827814041e-05,0.2142537618745033,-0.0003803870910595808,0.28731691809039733
org_hibernate_metamodel_binding,0.0,156.51351351351352,0.0,0.12977125656756755,0.0,0.2676774498648649
org_hibernate_metamodel_domain,0.0,11.944444444444445,0.0,0.1643284488888889,0.0,0.24506511944444437
org_hibernate_metamodel_relational,0.0,30.55882352941176,0.0,0.20758467,0.0,0.3473682170588235
