package_name,cbo_slope,cbo_intercept,rfc_slope,rfc_intercept
org_hibernate,-0.01672885725313992,6.837251637814535,-0.09322702330625003,12.797722750407585
org_hibernate_action_internal,0.03194444444444458,8.691203703703703,0.06130952380952346,24.970833333333335
org_hibernate_annotations,0.0034821428571428564,0.23737103174603175,0.001562500000000001,0.33707837301587296
org_hibernate_boot_jaxb_hbm_internal,0.0,1.7,0.0,2.7
org_hibernate_boot_jaxb_hbm_spi,0.0,3.9090909090909087,0.0,0.09090909090909093
org_hibernate_bytecode_buildtime_spi,0.002232142857142857,2.4677083333333334,0.0,6.25
org_hibernate_engine_config,-0.07142857142857141,4.928571428571429,-0.08791208791208789,4.835164835164835
org_hibernate_engine_config_internal,0.0,6.5,0.0,8.0
org_hibernate_engine_config_spi,0.0,2.0,0.0,0.0
org_hibernate_engine_jdbc_connections_internal,-0.03324175824175827,7.01868131868132,-0.09423076923076915,14.32948717948718
org_hibernate_engine_transaction_internal,-0.2557692307692308,7.4929487179487175,-0.7494505494505495,16.215384615384615
org_hibernate_engine_transaction_spi,-0.2261904761904762,2.9722222222222214,-0.155,1.8116666666666665
org_hibernate_hql_internal_ast_tree,0.0075494903053983185,7.580143727343976,0.011993196356707739,17.593133413839222
org_hibernate_internal_util_type,0.0,2.0,0.004945054945054944,0.6472527472527472
org_hibernate_jmx_internal,0.0,4.666666666666666,-0.021978021978022018,10.875457875457874
org_hibernate_loader_plan_spi,-0.30525774461944677,4.903686856878347,-0.264591082676189,2.7014035609780285
org_hibernate_mapping,0.00985392767832354,7.656343031794547,-0.01946969396260854,16.59613781606002
org_hibernate_osgitest,0.0,3.666666666666667,0.0,2.0
org_hibernate_osgitest_command,-0.007653061224489768,5.573979591836735,-0.05357142857142857,4.017857142857143
org_hibernate_persister_walking_internal,0.0045133437990581135,6.8090005232862385,0.008830455259026686,5.191522762951334
org_hibernate_persister_walking_spi,0.004001127078050141,4.959030712876866,0.00676246830092985,4.999661876584951
org_hibernate_procedure_internal,0.01201923076923077,7.1875,0.032623626373626376,10.41002747252747
org_hibernate_resource_transaction_backend_jdbc,0.0,8.2,-0.010909090909090967,10.469090909090907
org_hibernate_result,0.0,3.2999999999999994,-0.013186813186813199,4.425274725274724
org_hibernate_result_internal,0.0,4.333333333333334,-0.0219780219780219,7.375457875457878
org_hibernate_secure,0.0,4.1875,-0.004120879120879121,4.164148351648351
org_hibernate_secure_spi,0.0,3.625,-0.008241758241758242,2.703296703296703
org_hibernate_type_descriptor_converter,0.0009157509157509028,6.3021978021978,0.04304029304029303,3.1648351648351642
org_hibernate_internal,0.1023378608200038,6.606077633756206,0.16799632859900734,14.734334493932709
org_hibernate_metamodel_source_annotations_xml_filter,0.0,3.6666666666666665,0.0,6.833333333333331
org_hibernate_bytecode_buildtime_internal,0.0,7.0,0.0,4.0
org_hibernate_engine_jdbc_batch_spi,0.0,1.0,0.0,0.0
org_hibernate_engine_query_spi,-0.2557312252964427,5.1011857707509884,-0.3992094861660082,12.240316205533599
org_hibernate_engine_query_spi_sql,-0.34285714285714247,3.6999999999999997,-0.42857142857142866,7.885714285714285
org_hibernate_engine_transaction_internal_jta,0.0,8.333333333333334,0.06666666666666643,16.63333333333333
org_hibernate_envers_event_spi,0.0,8.8,0.0,15.6
org_hibernate_envers_internal_entities_mapper_relation_lazy,0.6999999999999993,4.7,1.7333333333333325,7.08888888888889
org_hibernate_metamodel_source_annotations_xml_mocker,0.0,10.468085106382981,0.0,19.80851063829787
org_hibernate_metamodel_source_binder,0.0,3.9714285714285724,0.0,9.685714285714283
org_hibernate_metamodel_source_hbm,0.0,7.03921568627451,0.0,10.84313725490196
org_hibernate_metamodel_source_internal,-0.16153846153846096,10.338461538461537,-0.2769230769230765,17.03076923076923
org_hibernate_metamodel,-0.015894039735099952,7.696026490066226,-0.028807947019866734,11.790728476821188
org_hibernate_metamodel_binding,-0.016216216216215783,5.686486486486484,0.0,4.45945945945946
org_hibernate_metamodel_domain,0.0,3.2222222222222223,0.0,1.6666666666666667
org_hibernate_metamodel_relational,0.0,5.352941176470588,0.0,9.911764705882351
org_hibernate_metamodel_relational_state,0.0,1.25,0.0,0.0
org_hibernate_metamodel_source,-0.01317073170731682,8.589268292682927,-0.032195121951220075,14.284878048780488
org_hibernate_metamodel_source_annotations,-0.006122448979592044,10.8,-0.030612244897956487,18.306122448979586
org_hibernate_metamodel_source_annotations_attribute,0.0,6.045454545454546,0.0,10.272727272727273
org_hibernate_metamodel_source_annotations_attribute_type,0.0,5.0,0.0,8.0
org_hibernate_metamodel_source_annotations_entity,0.0,11.230769230769232,0.0,23.538461538461537
org_hibernate_metamodel_source_annotations_xml,0.0,9.592592592592592,0.0,18.01851851851852
org_hibernate_envers_internal_entities_mapper_relation_query,0.0,7.0,0.0,15.571428571428573
org_hibernate_envers_query_internal_property,0.0,2.0,0.0,2.0
org_hibernate_osgi_test_client,0.0,7.5,0.0,16.0
org_hibernate_proxool_internal,0.0,6.0,0.0,19.5
org_hibernate_loader_internal,0.8947368421052637,9.0,0.13157894736842124,17.5
org_hibernate_loader_plan_exec_internal,nan,nan,nan,nan
org_hibernate_loader_plan_exec_process_internal,nan,nan,nan,nan
org_hibernate_loader_plan_exec_query_internal,nan,nan,nan,nan
org_hibernate_loader_plan_internal,1.3333333333333321,7.166666666666668,1.6666666666666665,3.833333333333334
org_hibernate_loader_plan_spi_build,-3.3809523809523814,13.714285714285715,-2.3809523809523796,14.714285714285715
