package_name,wmc_slope,wmc_intercept,nosi_slope,nosi_intercept,loc_slope,loc_intercept
org_hibernate,-0.10801690505623353,16.237815976908063,-0.018656303847779578,1.4493209967438745,-0.33965187506762523,63.90848206778372
org_hibernate_action_internal,0.06765873015873022,17.3375,0.0,0.22222222222222227,0.43214285714285683,67.84907407407408
org_hibernate_annotations,0.015937499999999976,1.6397867063492066,0.0,0.0,0.1114434523809524,11.180927579365083
org_hibernate_boot_jaxb_hbm_internal,0.0,4.200000000000001,0.0,0.2,0.0,18.699999999999996
org_hibernate_boot_jaxb_hbm_spi,0.0,6.727272727272728,0.0,0.09090909090909093,0.0,10.545454545454543
org_hibernate_bytecode_buildtime_spi,0.0,7.625,0.0,0.25,0.0,42.875
org_hibernate_engine_config,-0.10439560439560433,6.741758241758241,-0.005494505494505493,0.3021978021978022,-0.06593406593406594,25.626373626373624
org_hibernate_engine_config_internal,0.0,8.5,0.0,0.5,0.0,34.0
org_hibernate_engine_config_spi,0.0,3.0,0.0,0.0,0.0,16.0
org_hibernate_engine_jdbc_connections_internal,-0.04395604395604387,15.848351648351647,0.01153846153846154,0.7384615384615385,-0.03928571428571416,67.57032967032967
org_hibernate_engine_transaction_internal,-0.46098901098901096,19.855128205128203,0.07692307692307691,2.1025641025641026,-1.9469780219780228,69.59551282051282
org_hibernate_engine_transaction_spi,-0.5953571428571429,8.920833333333334,0.0,0.0,-1.190595238095238,17.531944444444445
org_hibernate_hql_internal_ast_tree,0.005444367445448161,19.431571856799135,0.0021637801378540803,0.3827277442119033,0.008881201512100236,69.31456623162255
org_hibernate_internal_util_type,0.010439560439560432,5.1912087912087905,0.0032967032967032967,0.2648351648351648,0.027472527472527434,26.612087912087905
org_hibernate_jmx_internal,0.0,10.666666666666666,0.0,1.666666666666667,0.0,41.33333333333333
org_hibernate_loader_plan_spi,-0.2705246290352673,5.120664678111486,-0.006222146647678561,0.15277205064439103,-1.3171871863361226,18.44046544472077
org_hibernate_mapping,0.0010121859246618062,24.890703766919383,-0.005269320843091329,0.6052971063390624,-0.055451911245186176,81.52379629262096
org_hibernate_osgitest,0.0,3.166666666666667,0.0,0.0,0.0,12.83333333333334
org_hibernate_osgitest_command,-0.012755102040816329,2.2899659863945576,-0.007653061224489792,0.5739795918367346,-0.040816326530612096,12.727891156462585
org_hibernate_persister_walking_internal,0.03649921507064367,7.191261119832547,0.0011773940345368912,0.5588697017268445,0.15992935635792746,45.95892203035059
org_hibernate_persister_walking_spi,0.018174133558748928,6.877937447168215,-0.00033812341504649214,0.13693998309382927,0.03682727528881381,19.220850943927864
org_hibernate_procedure_internal,0.018543956043956044,12.302197802197803,0.0,1.0,0.09271978021978022,51.823489010989015
org_hibernate_resource_transaction_backend_jdbc,0.021818181818181837,13.701818181818183,0.0,0.0,-0.010909090909090634,59.90909090909091
org_hibernate_result,0.0,6.5,-0.0065934065934065925,0.2626373626373627,0.0,31.0
org_hibernate_result_internal,0.0,8.833333333333332,-0.010989010989010988,0.4377289377289377,0.0,47.66666666666664
org_hibernate_secure,0.020604395604395608,4.366758241758241,0.0,0.375,0.05357142857142857,19.991071428571427
org_hibernate_secure_spi,0.024725274725274724,4.89010989010989,0.0,0.125,0.057692307692307696,19.076923076923077
org_hibernate_type_descriptor_converter,0.060439560439560454,5.22069597069597,0.0,0.0,0.529304029304029,35.644688644688635
org_hibernate_internal,0.41589992415885285,23.823710700496417,0.021536443969479714,1.864127999172642,1.8449429180455923,100.91802175261999
org_hibernate_metamodel_source_annotations_xml_filter,0.0,5.833333333333332,0.0,0.3333333333333333,0.0,32.5
org_hibernate_bytecode_buildtime_internal,0.0,5.0,0.0,0.0,0.0,32.5
org_hibernate_engine_jdbc_batch_spi,0.0,3.333333333333333,0.0,0.0,0.0,5.333333333333333
org_hibernate_engine_query_spi,-0.23853754940711483,12.815019762845848,-0.0175889328063241,1.0268774703557313,-1.0638339920948603,56.664031620553345
org_hibernate_engine_query_spi_sql,-0.4428571428571424,12.982142857142856,0.0,0.41785714285714287,-2.0571428571428543,45.23214285714285
org_hibernate_engine_transaction_internal_jta,-0.03333333333333144,22.766666666666666,0.0,3.8333333333333335,-0.23333333333333428,79.63333333333333
org_hibernate_envers_event_spi,-0.04999999999999982,7.616666666666666,0.0,0.0,-0.09999999999999964,27.833333333333336
org_hibernate_envers_internal_entities_mapper_relation_lazy,1.866666666666666,8.244444444444447,0.0,0.0,5.633333333333333,35.988888888888894
org_hibernate_metamodel_source_annotations_xml_mocker,0.0,18.063829787234038,0.0,5.957446808510637,0.0,69.74468085106382
org_hibernate_metamodel_source_binder,0.0,8.057142857142857,0.0,0.22857142857142856,0.0,25.17142857142857
org_hibernate_metamodel_source_hbm,0.0,13.058823529411764,0.0,1.3333333333333333,0.0,50.07843137254902
org_hibernate_metamodel_source_internal,-0.18461538461538396,19.892307692307693,-0.046153846153846156,0.723076923076923,-0.9692307692307637,90.56923076923076
org_hibernate_metamodel,-0.02483443708609361,13.721854304635764,-0.007947019867549577,2.0218543046357613,-0.10430463576159071,51.2814569536424
org_hibernate_metamodel_binding,0.0,13.027027027027026,0.0,0.35135135135135137,0.0,44.37837837837838
org_hibernate_metamodel_domain,0.0,6.388888888888888,0.0,0.05555555555555556,0.0,23.722222222222218
org_hibernate_metamodel_relational,0.0,12.823529411764707,0.0,1.2941176470588236,0.0,44.529411764705884
org_hibernate_metamodel_relational_state,0.0,4.0,0.0,0.0,0.0,6.0
