package_name,release,cbo,nosi,loc,wmc,rfc,lcom,tcc,lcc,dit
org_hibernate,10~5.0.0.CR1,6.6262331019364265,1.2236024844720497,59.898794300328824,14.95871392035075,11.687248812568505,137.69345999269274,0.16415600976848738,0.2282890130969492,1.506759225429302
org_hibernate_action_internal,10~5.0.0.CR1,8.88888888888889,0.2222222222222222,72.05555555555556,18.166666666666668,25.833333333333332,15.555555555555555,0.32074220555555555,0.39775061611111107,1.6111111111111112
org_hibernate_annotations,10~5.0.0.CR1,0.2857142857142857,0.0,12.714285714285714,1.8571428571428572,0.35714285714285715,0.0,-0.7142857142857143,-0.7142857142857143,1.0
org_hibernate_boot_jaxb_hbm_internal,10~5.0.0.CR1,1.7,0.2,18.7,4.2,2.7,0.8,0.14285715,0.2,1.0
org_hibernate_boot_jaxb_hbm_spi,10~5.0.0.CR1,3.909090909090909,0.09090909090909091,10.545454545454545,6.7272727272727275,0.09090909090909091,55.18181818181818,-0.09090909090909091,-0.09090909090909091,1.1818181818181819
org_hibernate_bytecode_buildtime_spi,10~5.0.0.CR1,2.5,0.25,42.875,7.625,6.25,6.75,0.319444445,0.319444445,1.375
org_hibernate_engine_config,10~5.0.0.CR1,4.25,0.25,25.0,5.75,4.0,4.5,-0.166666665,-0.166666665,1.0
org_hibernate_engine_config_internal,10~5.0.0.CR1,6.5,0.5,34.0,8.5,8.0,4.0,0.16666667,0.16666667,1.0
org_hibernate_engine_config_spi,10~5.0.0.CR1,2.0,0.0,16.0,3.0,0.0,5.0,-0.5,-0.5,1.0
org_hibernate_engine_jdbc_connections_internal,10~5.0.0.CR1,6.7,0.6,60.9,14.0,12.5,8.6,0.24523809600000002,0.361111114,1.2
org_hibernate_engine_transaction_internal,10~5.0.0.CR1,4.5,3.0,45.75,14.25,7.0,22.5,0.35,0.45454545,1.25
org_hibernate_engine_transaction_spi,10~5.0.0.CR1,0.3333333333333333,0.0,3.6666666666666665,2.0,0.0,2.0,-0.3333333333333333,-0.3333333333333333,1.0
org_hibernate_hql_internal_ast_tree,10~5.0.0.CR1,7.642857142857143,0.4,69.55714285714286,19.557142857142857,17.642857142857142,76.14285714285714,0.12324033051428569,0.16990049897142856,4.442857142857143
org_hibernate_internal_util_type,10~5.0.0.CR1,2.0,0.3,26.9,5.3,0.7,3.5,0.0,0.0,1.0
org_hibernate_jmx_internal,10~5.0.0.CR1,4.666666666666667,1.6666666666666667,41.333333333333336,10.666666666666666,10.666666666666666,1.0,0.11111111333333333,0.11111111333333333,1.0
org_hibernate_loader_plan_spi,10~5.0.0.CR1,1.8636363636363635,0.09090909090909091,5.2272727272727275,2.409090909090909,0.045454545454545456,4.7727272727272725,-0.4090909090909091,-0.4090909090909091,1.0454545454545454
org_hibernate_mapping,10~5.0.0.CR1,8.067796610169491,0.6779661016949152,84.96610169491525,25.76271186440678,17.423728813559322,487.7457627118644,0.15217883866949153,0.22435774029661013,1.6610169491525424
org_hibernate_osgitest,10~5.0.0.CR1,3.6666666666666665,0.0,12.833333333333334,3.1666666666666665,2.0,0.8333333333333334,0.7222222233333334,0.7222222233333334,1.0
org_hibernate_osgitest_command,10~5.0.0.CR1,5.571428571428571,0.5714285714285714,12.714285714285714,2.2857142857142856,4.0,0.0,1.0,1.0,1.0
org_hibernate_persister_walking_internal,10~5.0.0.CR1,6.857142857142857,0.5714285714285714,47.642857142857146,7.571428571428571,5.285714285714286,11.285714285714286,0.10187075114285715,0.13520408257142857,1.1428571428571428
org_hibernate_persister_walking_spi,10~5.0.0.CR1,5.0,0.13333333333333333,19.6,7.066666666666666,5.066666666666666,19.533333333333335,0.06666666666666667,0.06666666666666667,1.0666666666666667
org_hibernate_procedure_internal,10~5.0.0.CR1,7.3125,1.0,52.8125,12.5,10.75,26.375,0.20491801187500003,0.32594246,1.375
org_hibernate_resource_transaction_backend_jdbc,10~5.0.0.CR1,8.2,0.0,51.4,12.0,9.8,15.2,0.23754579399999995,0.33754578599999996,1.0
org_hibernate_result,10~5.0.0.CR1,3.3,0.2,31.0,6.5,4.3,5.6,0.207777779,0.254761908,1.3
org_hibernate_result_internal,10~5.0.0.CR1,4.333333333333333,0.3333333333333333,47.666666666666664,8.833333333333334,7.166666666666667,6.833333333333333,0.3462962983333333,0.4246031799999999,1.3333333333333333
org_hibernate_secure,10~5.0.0.CR1,4.1875,0.375,20.5,4.5625,4.125,2.375,0.05208333375,0.08333333375,1.3125
org_hibernate_secure_spi,10~5.0.0.CR1,3.625,0.125,19.625,5.125,2.625,2.0,0.1125,0.175,1.125
org_hibernate_type_descriptor_converter,10~5.0.0.CR1,6.333333333333333,0.0,42.666666666666664,6.0,3.6666666666666665,3.6666666666666665,0.44444444666666666,0.6666666666666666,1.3333333333333333
org_hibernate_internal,11~4.3.1.Final,6.707482993197279,1.8911564625850341,102.78911564625851,24.26530612244898,14.979591836734693,740.1360544217687,0.21734198631258503,0.3015339064010204,1.598639455782313
org_hibernate_metamodel_source_annotations_xml_filter,11~4.3.1.Final,3.6666666666666665,0.3333333333333333,32.5,5.833333333333333,6.833333333333333,2.3333333333333335,0.0,0.0,1.5
org_hibernate,11~4.3.1.Final,6.8921529175050305,1.4724346076458752,63.81167002012072,16.216498993963782,12.847082494969818,156.6559356136821,0.17630878952549298,0.23880700306778674,1.5714285714285714
org_hibernate_action_internal,11~4.3.1.Final,8.666666666666666,0.2222222222222222,69.66666666666667,17.666666666666668,25.333333333333332,15.555555555555555,0.32074220555555555,0.39775061611111107,1.6111111111111112
