package_name,release,cbo,wmc,dit,rfc,lcom,tcc,lcc,nosi,loc
org_hibernate_ejb_criteria,4.2.3.Final,8.836538461538462,11.259615384615385,4.653846153846154,7.519230769230769,149.84615384615384,0.16014292395500002,0.19985660149346154,1.0865384615384615,46.92307692307692
org_hibernate_ejb_criteria_expression_function,4.2.3.Final,7.0,6.9,6.0,6.3,4.8,0.365685431,0.408008651,0.2,35.2
org_hibernate_ejb_internal,4.2.3.Final,4.5,13.5,1.0,6.0,39.0,0.5,0.5,0.0,40.0
org_hibernate_envers_configuration_metadata_reader,4.2.3.Final,5.846153846153846,15.384615384615385,1.1538461538461537,11.153846153846153,45.46153846153846,0.2846003484615385,0.40178961153846154,0.15384615384615385,60.0
org_hibernate_envers_entities_mapper,4.2.3.Final,6.934426229508197,9.836065573770492,1.5901639344262295,9.98360655737705,6.655737704918033,0.44030987819672135,0.5274019201639344,0.09836065573770492,38.60655737704918
org_hibernate_envers_entities_mapper_relation,4.2.3.Final,6.739130434782608,8.630434782608695,1.6521739130434783,9.782608695652174,6.413043478260869,0.46181126565217395,0.5622925343478261,0.13043478260869565,36.28260869565217
org_hibernate_envers_entities_mapper_relation_lazy,4.2.3.Final,6.333333333333333,12.6,1.8,11.133333333333333,6.733333333333333,0.5663462579999998,0.6170285113333333,0.0,49.13333333333333
org_hibernate_envers_entities_mapper_relation_lazy_proxy,4.2.3.Final,4.166666666666667,14.166666666666666,1.5,12.5,15.833333333333334,0.39831522,0.39831522,0.0,56.166666666666664
org_hibernate_envers_event,4.2.3.Final,8.6,7.2,2.0,15.5,4.0,0.05,0.05,0.0,26.5
org_hibernate_envers_reader,4.2.3.Final,8.75,16.0,1.0,20.75,11.25,0.538429415,0.6535087675,0.0,72.0
org_hibernate_envers_synchronization_work,4.2.3.Final,8.818181818181818,11.727272727272727,1.5454545454545454,10.363636363636363,23.545454545454547,0.27408450145454544,0.35424121690909094,0.45454545454545453,46.90909090909091
org_hibernate_envers_tools_query,4.2.3.Final,5.0,26.333333333333332,1.0,22.666666666666668,41.0,0.27076649333333336,0.47999108,0.0,110.0
org_hibernate_service_jdbc_connections_internal,4.2.3.Final,6.0,17.5,1.0,19.5,38.5,0.05357143,0.05357143,0.5,60.5
org_hibernate_service_jndi,4.2.3.Final,3.6666666666666665,10.333333333333334,1.0,8.333333333333334,13.0,0.0,0.0,0.0,48.333333333333336
org_hibernate_service_jta_platform_internal,4.2.3.Final,5.391304347826087,6.086956521739131,1.6521739130434783,4.913043478260869,12.26086956521739,0.1608411495652174,0.17561807339130436,0.391304347826087,33.0
org_hibernate_ejb_criteria,4.2.4.Final,8.836538461538462,11.259615384615385,4.653846153846154,7.519230769230769,149.84615384615384,0.16014292395500002,0.19985660149346154,1.0865384615384615,46.92307692307692
org_hibernate_ejb_criteria_expression_function,4.2.4.Final,7.0,6.9,6.0,6.3,4.8,0.365685431,0.408008651,0.2,35.2
org_hibernate_ejb_internal,4.2.4.Final,4.5,13.5,1.0,6.0,39.0,0.5,0.5,0.0,40.0
org_hibernate_envers_configuration_metadata_reader,4.2.4.Final,5.846153846153846,15.384615384615385,1.1538461538461537,11.153846153846153,45.46153846153846,0.2846003484615385,0.40178961153846154,0.15384615384615385,60.0
org_hibernate_envers_entities_mapper,4.2.4.Final,6.934426229508197,9.836065573770492,1.5901639344262295,9.98360655737705,6.655737704918033,0.44030987819672135,0.5274019201639344,0.09836065573770492,38.60655737704918
org_hibernate_envers_entities_mapper_relation,4.2.4.Final,6.739130434782608,8.630434782608695,1.6521739130434783,9.782608695652174,6.413043478260869,0.46181126565217395,0.5622925343478261,0.13043478260869565,36.28260869565217
org_hibernate_envers_entities_mapper_relation_lazy,4.2.4.Final,6.333333333333333,12.6,1.8,11.133333333333333,6.733333333333333,0.5663462579999998,0.6170285113333333,0.0,49.13333333333333
org_hibernate_envers_entities_mapper_relation_lazy_proxy,4.2.4.Final,4.166666666666667,14.166666666666666,1.5,12.5,15.833333333333334,0.39831522,0.39831522,0.0,56.166666666666664
org_hibernate_envers_event,4.2.4.Final,8.6,7.2,2.0,15.5,4.0,0.05,0.05,0.0,26.5
org_hibernate_envers_reader,4.2.4.Final,8.75,16.0,1.0,20.75,11.25,0.538429415,0.6535087675,0.0,72.0
org_hibernate_envers_synchronization_work,4.2.4.Final,8.818181818181818,11.727272727272727,1.5454545454545454,10.363636363636363,23.545454545454547,0.27408450145454544,0.35424121690909094,0.45454545454545453,46.90909090909091
org_hibernate_envers_tools_query,4.2.4.Final,5.0,26.333333333333332,1.0,22.666666666666668,41.0,0.27076649333333336,0.47999108,0.0,110.0
org_hibernate_service_jdbc_connections_internal,4.2.4.Final,6.0,17.5,1.0,19.5,38.5,0.05357143,0.05357143,0.5,60.5
org_hibernate_service_jndi,4.2.4.Final,3.6666666666666665,10.333333333333334,1.0,8.333333333333334,13.0,0.0,0.0,0.0,48.333333333333336
org_hibernate_service_jta_platform_internal,4.2.4.Final,5.391304347826087,6.086956521739131,1.6521739130434783,4.913043478260869,12.26086956521739,0.1608411495652174,0.17561807339130436,0.391304347826087,33.0
org_hibernate_boot_registry_selector,4.3.0.Beta4,14.5,8.666666666666666,1.1666666666666667,9.0,10.666666666666666,0.21666666999999998,0.28888889,0.6666666666666666,40.333333333333336
org_hibernate_envers_event_spi,4.3.0.Beta4,8.8,7.5,2.0,15.6,4.5,0.08333333400000001,0.08333333400000001,0.0,27.6
